name	enabled	budgetPeriodBasis	paydayRuleType	paydayDay	financeTimeZone	instant	expectedKey	expectedStart	expectedEndExclusive
calendar_month_vietnam	false	CALENDAR_MONTH	DAY_OF_MONTH	25	Asia/Ho_Chi_Minh	2026-08-25T07:30:00.000Z	month:2026-08	2026-07-31T17:00:00.000Z	2026-08-31T17:00:00.000Z
payday_1	true	SALARY_CYCLE	DAY_OF_MONTH	1	Asia/Ho_Chi_Minh	2026-08-15T05:00:00.000Z	salary:2026-08-01	2026-07-31T17:00:00.000Z	2026-08-31T17:00:00.000Z
payday_5_exact_boundary	true	SALARY_CYCLE	DAY_OF_MONTH	5	Asia/Ho_Chi_Minh	2026-08-04T17:00:00.000Z	salary:2026-08-05	2026-08-04T17:00:00.000Z	2026-09-04T17:00:00.000Z
payday_25_before_boundary	true	SALARY_CYCLE	DAY_OF_MONTH	25	Asia/Ho_Chi_Minh	2026-08-24T16:59:59.999Z	salary:2026-07-25	2026-07-24T17:00:00.000Z	2026-08-24T17:00:00.000Z
payday_25_exact_boundary	true	SALARY_CYCLE	DAY_OF_MONTH	25	Asia/Ho_Chi_Minh	2026-08-24T17:00:00.000Z	salary:2026-08-25	2026-08-24T17:00:00.000Z	2026-09-24T17:00:00.000Z
payday_31_before_non_leap_february	true	SALARY_CYCLE	DAY_OF_MONTH	31	Asia/Ho_Chi_Minh	2027-02-15T05:00:00.000Z	salary:2027-01-31	2027-01-30T17:00:00.000Z	2027-02-27T17:00:00.000Z
payday_31_on_non_leap_february_boundary	true	SALARY_CYCLE	DAY_OF_MONTH	31	Asia/Ho_Chi_Minh	2027-02-28T05:00:00.000Z	salary:2027-02-28	2027-02-27T17:00:00.000Z	2027-03-30T17:00:00.000Z
payday_31_on_leap_february_boundary	true	SALARY_CYCLE	DAY_OF_MONTH	31	Asia/Ho_Chi_Minh	2028-02-29T05:00:00.000Z	salary:2028-02-29	2028-02-28T17:00:00.000Z	2028-03-30T17:00:00.000Z
first_day_rule	true	SALARY_CYCLE	FIRST_DAY_OF_MONTH	25	Asia/Ho_Chi_Minh	2026-08-14T02:00:00.000Z	salary:2026-08-01	2026-07-31T17:00:00.000Z	2026-08-31T17:00:00.000Z
last_day_rule	true	SALARY_CYCLE	LAST_DAY_OF_MONTH	1	Asia/Ho_Chi_Minh	2026-04-15T02:00:00.000Z	salary:2026-03-31	2026-03-30T17:00:00.000Z	2026-04-29T17:00:00.000Z
new_york_timezone	true	SALARY_CYCLE	DAY_OF_MONTH	5	America/New_York	2026-01-10T12:00:00.000Z	salary:2026-01-05	2026-01-05T05:00:00.000Z	2026-02-05T05:00:00.000Z
